# Chinese lookup aliases | English gloss
# The user-facing input scheme outputs Simplified Chinese only.
# Derived from CC-CEDICT, published by MDBG.
# License: CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/
# Source date: 2026-08-23T06:21:07Z
U形转弯	U-turn
U盘	USB flash drive; thumb drive
U盤	USB flash drive; thumb drive
U盾	USB key used as a security token in Chinese online banking
VCR	video clip (loanword from "videocassette recorder")
V沟	low neckline that reveals the cleavage; décolleté
V溝	low neckline that reveals the cleavage; décolleté
XO酱	XO sauce, a spicy seafood sauce invented in Hong Kong in the 19…
XO醬	XO sauce, a spicy seafood sauce invented in Hong Kong in the 19…
X光	X-ray
Z世代	Generation Z; Zoomers
cos	(Internet slang) cosplay; to cosplay
coser	cosplayer
e人	(slang) extroverted person
ins	Instagram
i人	(slang) introverted person
ky	(slang) socially tone-deaf; unable to read the room (from Japan…
mua	(onom.) mwah (sound of a kiss)
w	(Internet slang) ten thousand (abbr. for 萬|万[wan4])
word	my (Internet slang variant of 我的[wo3 de5])
word姐	my big sister (Internet slang version of 我的姐[wo3 de5 jie3])
□	(Tw) (coll.) cool; awesome
○	character used in Taiwan as a substitute for a real name (like…
⺮	"bamboo" radical in Chinese characters (Kangxi radical 118)
々	iteration mark indicating repetition of the preceding character…
〇	zero
〡	numeral 1 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〢	numeral 2 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〣	numeral 3 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〤	numeral 4 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〥	numeral 5 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〦	numeral 6 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〧	numeral 7 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〨	numeral 8 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〩	numeral 9 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〸	numeral 10 in the Suzhou numeral system 蘇州碼子|苏州码子[Su1 zhou1 ma3…
〻	iteration mark indicating repetition of the preceding character…
ㄅㄧㄤˋ	(Tw) (coll.) cool; awesome
ㄏㄤ	(Tw) (slang) popular; hot (from Taiwanese 烘, Tai-lo pr. [hang])
㐄	component in Chinese characters, mirror image of 夂[zhi3]
㐅	old variant of 五[wu3]
㐌	variant of 它[ta1]
㐖	used in 㐖毒[Xie2 du2]
㐖毒	archaic name for India
㐜	variant of 仇[chou2]
㐡	old variant of 懦[nuo4]
㐤	old variant of 求[qiu2]
㐫	old variant of 凶[xiong1]
㐰	old variant of 信[xin4]
㐷	(Chinese chess) horse; knight (on the red side)
㐺	old variant of 眾|众[zhong4]
㑇	(old) beautiful; clever
㑊	used in 解㑊[xie4 yi4]
㑩	used in 僂儸|偻㑩[lou2 luo5]
㑳	(old) beautiful; clever
㑺	old variant of 俊[jun4]
㒳	old variant of 兩|两[liang3]
㒸	old variant of 遂[sui4]
㒺	old variant of 罔[wang3]
㓂	old variant of 寇[kou4]
㓥	(Cantonese) to butcher; to cut open; to chop up (used in 劏房|㓥房[…
㓥房	(HK) subdivided flat (apartment); partitioned apartment; tiny r…
㔾	"seal" radical in Chinese characters (Kangxi radical 26)
㕁	old variant of 卻|却[que4]
㕑	old variant of 廚|厨[chu2]
㕘	variant of 參|参[can1]
㕥	old variant of 呻[shen1]; old variant of 以[yi3]
㕯	old variant of 訥|讷[ne4]
㕻	variant of 咅[pou3]
㖊	fathom (1.83 meters) (old)
㖞	awry (mouth); askew
㗂	tight-lipped; to examine
㘎	(literary) (of a tiger) to growl; to roar
㘓	used in 㘓哰|𪢌哰[lan2 lao2]
㘓哰	incoherent; unintelligible
㘚	(literary) (of a tiger) to growl; to roar
㘭	variant of 坳[ao4]
㘵	(used in place names)
㙍	(used in place names)
㙡	used in 雞㙡|鸡𭎂[ji1 zong1]
㙦	(used in place names)
㚻	used in 㚻姦|㚻奸[ji1 jian1]
㚻奸	variant of 雞姦|鸡奸[ji1 jian1]
㚻姦	variant of 雞姦|鸡奸[ji1 jian1]
㛀	pregnant woman (archaic)
㛂	graceful; frail and petite
㛃	variant of 潔|洁[jie2] (mostly used in given names)
㝄	old variant of 純|纯[chun2]
㝇	old variant of 鶉|鹑[chun2]
㝉	to store; to stand
㝛	old variant of 宿[su4]
㝠	old variant of 冥[ming2]
㝡	variant of 最[zui4]
㝵	to obtain (old variant of 得[de2]); variant of 礙|碍[ai4]
㞎	(dialect) poo; (dialect) to shit
㞎㞎	(baby talk) poop
㞗	(dialect) penis; dick
㞙	old variant of 尿[niao4]
㞞	(coll.) semen; (coll.) weak and incompetent
㟁	variant of 岸[an4]
㟃	(used in place names)
㟥	uneven; not uniform
㠀	variant of 島|岛[dao3]
㠇	(name of a mountain ridge)
㠯	old variant of 以[yi3]
㠶	variant of 帆[fan1]
㡌	old variant of 帽[mao4]
㢘	old variant of 廉[lian2]
㢠	variant of 迥[jiong3]
㢲	variant of 巽[xun4]
㢴	old variant of 西[xi1]
㣟	to go; to walk
㤅	old variant of 愛|爱[ai4]
㤘	(dialect) stubborn
㤙	variant of 恩[en1]
㤽	used in 懤懤|㤽㤽[chou2 chou2]
㤽㤽	anxious; depressed
㥁	variant of 德[de2]
㥏	(literary) ashamed
㥦	variant of 愜|惬[qie4]
㥮	(dialect) stubborn
㦂	old variant of 常[chang2]
㧐	(literary) to stand upright; (dialect) to push
㧑	to split; to direct
㧑挹	to be extremely modest and polite
㧑损	to humble
㧟	(dialect) to scratch (an itch); to carry on the arm
㧯	round-bottomed wicker basket; (dialect) to lift
㧰	(old) to beat; to pound
㧱	old variant of 拿[na2]
㨃	variant of 懟|怼[dui3]
㨗	quick; nimble
㨪	variant of 晃[huang3]
㨫	variant of 擥[lan3]
㨿	variant of 據|据[ju4]
㩐	variant of 扽[den4]
㩗	old variant of 攜|携[xie2]
㩜	variant of 擥[lan3]
㩦	old variant of 攜|携[xie2]
㩳	(literary) to stand upright; (dialect) to push
㪃	to beat; to hit
㪋	variant of 捍[han4]
㪚	variant of 散[san4]
㪟	variant of 敦[dun1]
㫰	(dialect) to dry (sth) in the sun; to dry (sth) in the air
㫺	old variant of 昔[xi1]
㬉	old variant of 暖[nuan3]
㬎	old variant of 顯|显[xian3]
㮎	variant of 杯[bei1]
㮚	old variant of 栗[li4]
㮸	variant of 送[song4]
㯭	variant of 櫓|橹[lu3]
㯳	variant of 檠[qing2]
㱃	old variant of 飲|饮[yin3]
㱩	abortion; stillborn
㱮	to fester; to ulcerate (old variant of 潰|溃[hui4])
㱾	a kind of metal or jade ornament worn in ancient times to ward…
㲈	variant of 韶[shao2]; variant of 鞀|鼗[tao2]
㲋	ancient name for an animal similar to rabbit but bigger
㲱	old variant of 鬣[lie4]
㲾	old variant of 雨[yu3]
㳂	variant of 沿[yan2]
㳄	variant of 涎[xian2]
㳇	(used in place names)
㳒	variant of 法[fa3]
㳘	(literary) (of a mountain stream) to flow down
㳮	old variant of 尿[niao4]
㴋	sound of rain and wind
㴱	old variant of 深[shen1]
㵎	variant of 澗|涧[jian4]
㵐	Jue River in Hubei
㵐水	Jue River (in Hubei Province)
㵪	variant of 涎[xian2]
㵮	clear water
㶉	used in 鸂鶒|㶉𫛶[xi1 chi4]
㶉𫛶	a kind of waterbird resembling a mandarin duck
㶶	(dialect) to burn; to scorch
㶸	(precise meaning unknown, relates to iron); variant of 協|协[xie2]
㷖	old variant of 照[zhao4]
㷭	old variant of 烽[feng1]
㷸	variant of 燁|烨[ye4]
㸌	to twinkle; to glint
㹠	old variant of 豚[tun2]
㹢	used in 㺢㹢狓[huo4 jia1 pi2]
㹴	terrier
㹴犬	terrier
㺍	old variant of 猵[bian1]
㺢	used in 㺢㹢狓[huo4 jia1 pi2]
㺢㹢狓	(loanword) okapi (Okapia johnstoni)
㺵	black jade (variant of 玖[jiu3])
㻅	jade ornament in the seams of cap
㻬	a kind of jade
㻽	variant of 璿|璇[xuan2]
㼝	variant of 碗[wan3]
㽞	old variant of 留[liu2]
㽮	old variant of 星[xing1]
㿜	variant of 癟|瘪[bie3]
㿝	old variant of 香[xiang1]
㿠	(literary) (of the face) pale due to qi and blood deficiency
䁖	to glance at
䂖	variant of 石[shi2]
䂲	variant of 砝[fa3]
䂶	variant of 蜐[jie2]
䃉	old variant of 珉[min2]
䃎	(used in place names)
䅟	panicum frumentaceum
䅵	chaff; bran
䇲	variant of 筴|策[ce4]
䈰	pot-scrubbing brush made of bamboo strips
䉤	basket for draining rice
䊀	variant of 糊[hu2]
䌷	silk
䌸	to tie up
䌹	monotone garment with no lining
䌽	variant of 彩[cai3]
䍁	tassel
䍃	(archaic) vase; pitcher
䍹	variant of 膻[shan1]
䎃	(ornithology) down
䏝	(dialect) gizzard
䒗	old variant of 芞[qi4]
䓕	(arch.) type of grass
䓖	used in 芎藭|芎䓖[xiong1 qiong2]
䓬	(chemistry) tropylium ion
䔢	old variant of 華|华[hua2]
䕭	a kind of vegetable; variant of 蕁|荨[qian2]
䖟	old variant of 虻[meng2]
䖸	variant of 蛾[e2]
䗈	old variant of 虻[meng2]
䗖	used in 螮蝀|䗖𬟽[di4 dong1]
䗖𬟽	(old) rainbow
䗥	used in 螉䗥[weng1 zong1]
䗪	Chinese ground beetle (Eupolyphaga sinensis)
䗬	variant of 蜂[feng1]
䗶	old variant of 蠟|蜡[la4]
䘏	variant of 恤[xu4]
䘑	old variant of 脈|脉[mai4]
䘚	variant of 卒[zu2]
䙓	variant of 襬|摆[bai3]
䛐	old variant of 詞|词[ci2]
䛟	variant of 唊[jia2]
䜣	pleased; delighted
䜩	variant of 宴[yan4]
䝓	old variant of 鬣[lie4]
䝔	variant of 獾[huan1]
䝙	(archaic) animal resembling a tiger
䞓	old variant of 赬|赪[cheng1]
䟆	old variant of 蹕|跸[bi4]
䠀	to squat; to sit; old variant of 趟[tang1]
䠞	variant of 蹙[cu4]
䠶	old variant of 射[she4]
䠷	used in 高䠷[gao1 tiao3]
䢺	(used in place names)
䤈	old variant of 醯[xi1]
䥑	meitnerium (chemistry)
䥥	old variant of 鐮|镰[lian2]
䦆	variant of 鐝|镢[jue2]
䦉	variant of 肆[si4]
䦕	variant of 閛[peng1]
䩄	used in 靦覥|䩄觍[mian3 tian3]
䩄觍	variant of 靦腆|腼腆[mian3 tian3]
䩦	variant of 鞗[tiao2]
䫏	variant of 魌[qi1]
䬃	variant of 颯|飒[sa4]
䬠	old variant of 霏[fei1]
䬪	variant of 餺|馎[bo2]
䭾	variant of 馱|驮[tuo2]
䯄	piebald horse
䯝	variant of 髓[sui3]
䰟	old variant of 魂[hun2]
䰾	used in 䰾魚|鲃鱼[ba1 yu2]
䰾魚	barbel (fish)
䲁	blenny
䲔	old variant of 鯨|鲸[jing1]
䲘	Ochetobius elongatus, species of cyprinid fish found in eastern…
䲟	shark sucker (Echeneis naucrates)
䲠	see 鰆魚|䲠鱼[chun1 yu2]
䲠鱼	Japanese Spanish mackerel (Scomberomorus niphonius)
䳗	variant of 鵝|鹅[e2]
䳘	variant of 鵝|鹅[e2]
䳭	wheatear (bird of genus Oenanthe)
䴈	used in 鶆䴈|𱉵𬸩[lai2 ao3]
䴉	spoonbill; ibis
䴉嘴鷸	(bird species of China) ibisbill (Ibidorhyncha struthersii)
䴓	nuthatch (bird of genus Sitta)
䴔	a kind of aquatic bird
