# Common English word | short Simplified Chinese gloss
# Derived from ECDICT. License: MIT.
# Source snapshot downloaded: 2026-08-25
# Source SHA-256: 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf
a	第一个字母A
accretion	自然增大
accrington	阿克林顿（英
accrual	自然增长
accrue	自然增加
accrued	应计的
acculturate	适应新的文化
acculturation	文化互渗
acculturative	文化适应的
accumulate	积聚
accumulated	累计的
accumulating	累加
accumulation	积聚
accumulative	积聚而成的
accumulator	积聚者
accuracy	精确
accurate	正确的
accurately	正确地
accursed	被咒的
accusation	控告
accusatory	控诉的
accuse	指责
accused	被告
accuser	控诉者
accusing	指责的
accusingly	责难地
accustom	使习惯于
accustomed	惯常的
ace	幺点
acellular	非细胞的
acequia	灌溉水渠
acer	宏碁（公司名
acerbic	酸的
acerbically	酸地
acerbity	涩
acet	次乙基
acetaldehyde	乙醛
acetaminophen	乙酰
acetate	醋酸盐
acetic	醋的
acetone	丙酮
acetyl	乙酰
acetylcholine	乙酰胆碱
acetylene	乙炔
ach	自动化票证交
achaemenid	阿契美尼德王
ache	疼痛
acheson	艾奇逊
achievable	做得成的
achieve	完成
achieved	取得的
achievement	完成
achiever	获得成功的人
achille	阿喀琉斯（荷
achilles	阿喀琉斯
aching	疼痛的
achingly	极其
achromat	消色差透镜
achromatic	无色的
achy	疼痛的
acid	酸
acidic	成酸的
acidification	使发酸
acidified	酸化
acidify	使变酸
acidity	酸性
acidly	尖刻地
acidophilus	嗜酸的
acidosis	酸中毒
acinar	腺泡的
ackee	西非荔枝果
acker	涡流
ackerman	人名
ackland	人名
acknowledge	承认
acknowledged	公认的
acknowledgement	承认
acknowledgment	承认
ackroyd	人名
acland	人名
acme	顶点
acne	痤疮
acolyte	侍僧
aconite	乌头
acorn	橡树果实
acoustic	听觉的
acoustical	听觉的
acoustically	听觉上
acoustician	声学家
acp	存取控制软件
acquaint	使认识
acquaintance	认识
acquaintanceship	相识
acquainted	知晓的
acquiesce	默许
acquiescence	默许
acquiescent	默许的
acquire	获得
acquired	获得的
acquirer	转得人
acquiring	瞄准
acquisition	获得
acquisitive	渴望获得的
acquisitiveness	占有欲
acquit	无罪释放
acquittal	履行
acre	英亩
acreage	英亩数
acrid	苦味的
acrimonious	尖刻的
acrimony	严厉
acrobat	表演特技者
acrobatic	杂技演员的
acrobatics	杂技
acronym	首字母缩拼词
acrophobia	恐高症
acropolis	古希腊的卫城
across	越过
acrylic	丙烯酸的
act	行动
actin	肌动蛋白
acting	演戏
actinic	光化的
actinomycin	放线菌素
action	行动
actionable	可提起诉讼的
actions	动作
activate	使活动
activated	活性化的
activating	启动
activation	活化
activator	活化剂
active	活跃的
actively	活跃地
activism	激进主义
activist	激进主义分子
activities	（activ
activity	活动
acton	铠衣
actor	男演员
actress	女演员
actual	真实的
actualise	实现
actuality	事实
actualization	现实化
actualize	实行
actualized	实现
actually	事实上
actuarial	保险计算员的
actuary	保险计算员
actuate	开动
actuation	开动
actuator	开动者
acuity	尖锐
acumen	敏锐
acupressure	针压法
acupuncture	针刺
acupuncturist	针灸医生
acute	尖锐的
acutely	尖锐地
acuteness	锐利
acyclovir	阿昔洛韦
ad	广告
ada	数据自动采集
adage	格言
adagio	缓慢地
adair	亚岱尔（男子
adam	亚当
adamant	坚硬的东西
adamantine	非常坚硬的
adamantly	坚硬无比地
adams	先进数据管理
adamson	阿达姆松（人
adana	亚达那
adapt	使适应
adaptability	适应性
adaptable	能适应的
adaptation	适应
adaptational	适应的
adapted	适合的
adapter	适应者
adaption	适应
adaptive	适应的
adaptor	改编者
adat	<印尼>传统
adc	先行数据代码
adcock	爱德考克（男
add	增加
added	额外的
addenda	pl.补遗
addendum	补遗
adder	蝰蛇
addict	使沉溺
addicted	沉溺于...
addicting	有瘾的人
addiction	入迷
addictive	上瘾的
adding	加法的
addington	人名
addis	艾缔思（姓氏
addison	艾迪生（姓氏
addition	加法
additional	附加的
additionality	额外性
additionally	另外
additive	添加的
addle	使昏乱
addled	头脑混乱的
address	住址
addressable	可寻址的
addressed	编址的
addressee	收件人
adduce	引证
adduct	使内收
adduction	引证
adductor	内收肌
ade	先行数据输入
adelaide	阿德莱德（女
adele	阿黛尔（女子
adelgid	球蚜
adelphi	阿德尔菲（美
aden	亚丁
adenauer	人名
adenine	腺嘌呤
adenocarcinoma	腺癌
adenoid	腺的
adenoidal	腺样的
adenoidectomy	增殖腺切除术
adenoma	腺瘤
adenomatous	腺瘤
adenopathy	腺病
adenosine	腺苷
adenovirus	腺病毒
adept	熟练的
adeptly	老练地
adeptness	熟练
adequacy	适当
adequate	适当的
